transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00418,2026-01-25T09:53:16Z,271.14,pharmacy,DE,True,False
txn_0000001,card_00850,2026-01-20T10:58:51Z,28.28,grocery,GB,False,False
txn_0000002,card_00239,2026-01-13T02:06:24Z,49.63,fuel,GB,False,False
txn_0000003,card_00847,2026-01-26T10:24:40Z,33.63,atm_withdrawal,SG,True,False
txn_0000004,card_00623,2026-01-12T21:28:18Z,43.35,online_retail,SG,True,False
txn_0000005,card_00440,2026-01-26T22:52:49Z,54.31,electronics,DE,True,False
txn_0000006,card_00057,2026-01-11T18:41:39Z,39.44,atm_withdrawal,US,True,False
txn_0000007,card_00551,2026-01-30T16:49:42Z,15.44,atm_withdrawal,IN,True,False
txn_0000008,card_00084,2026-01-05T00:28:19Z,64.81,electronics,IN,True,False
txn_0000009,card_00006,2026-01-25T04:01:07Z,81.72,travel,US,False,False
txn_0000010,card_00592,2026-01-02T22:10:05Z,61.56,atm_withdrawal,US,True,False
txn_0000011,card_00484,2026-01-22T00:13:38Z,118.42,electronics,IN,True,False
txn_0000012,card_00741,2026-01-27T17:03:22Z,132.61,online_retail,US,True,True
txn_0000013,card_00742,2026-01-11T22:52:35Z,38.9,fuel,DE,True,False
txn_0000014,card_00346,2026-01-08T21:18:31Z,8.94,travel,SG,True,False
txn_0000015,card_00436,2026-01-04T12:52:29Z,16.82,electronics,DE,False,False
txn_0000016,card_00140,2026-01-09T06:24:33Z,1107.28,utilities,AE,True,False
txn_0000017,card_00683,2026-01-26T22:37:54Z,8.26,travel,SG,True,False
txn_0000018,card_00778,2026-01-05T02:46:05Z,129.75,restaurant,IN,True,False
txn_0000019,card_00264,2026-01-30T17:37:42Z,15.49,restaurant,SG,True,False
txn_0000020,card_00299,2026-01-10T04:14:23Z,41.44,fuel,SG,True,False
txn_0000021,card_00238,2026-01-30T04:13:54Z,9.21,fuel,AE,False,False
txn_0000022,card_00845,2026-01-13T10:45:49Z,100.49,atm_withdrawal,SG,False,False
txn_0000023,card_00213,2026-01-18T04:56:18Z,195.52,travel,GB,True,False
txn_0000024,card_00230,2026-01-17T16:37:04Z,34.86,grocery,GB,True,False
txn_0000025,card_00244,2026-01-05T00:29:36Z,29.47,restaurant,GB,True,False
txn_0000026,card_00657,2026-01-21T16:37:37Z,137.0,travel,IN,True,False
txn_0000027,card_00315,2026-01-07T08:50:42Z,26.84,fuel,US,False,False
txn_0000028,card_00412,2026-01-11T15:27:05Z,43.15,utilities,AE,True,False
txn_0000029,card_00157,2026-01-03T16:22:10Z,30.91,atm_withdrawal,SG,False,False
txn_0000030,card_00367,2026-01-04T03:13:23Z,4.7,entertainment,GB,True,False
txn_0000031,card_00689,2026-01-19T04:03:35Z,144.26,pharmacy,AE,True,False
txn_0000032,card_00873,2026-01-25T02:02:43Z,209.46,atm_withdrawal,SG,True,False
txn_0000033,card_00216,2026-01-17T07:39:09Z,12.31,travel,SG,True,False
txn_0000034,card_00533,2026-01-28T22:46:12Z,63.23,online_retail,IN,True,False
txn_0000035,card_00461,2026-01-21T06:05:40Z,244.44,utilities,US,False,False
txn_0000036,card_00521,2026-01-19T13:54:44Z,58.95,utilities,IN,False,False
txn_0000037,card_00183,2026-01-04T21:53:04Z,105.63,entertainment,IN,True,False
txn_0000038,card_00373,2026-01-20T15:58:51Z,71.51,pharmacy,IN,True,False
txn_0000039,card_00660,2026-01-23T16:57:25Z,30.94,atm_withdrawal,SG,True,False
txn_0000040,card_00392,2026-01-10T02:10:01Z,403.55,electronics,US,True,False
txn_0000041,card_00797,2026-01-09T07:50:16Z,483.9,atm_withdrawal,US,False,False
txn_0000042,card_00113,2026-01-04T08:04:15Z,86.32,pharmacy,SG,True,False
txn_0000043,card_00409,2026-01-28T13:32:01Z,159.78,entertainment,SG,True,False
txn_0000044,card_00887,2026-01-09T13:34:47Z,67.92,travel,IN,True,False
txn_0000045,card_00597,2026-01-08T04:56:25Z,46.99,online_retail,GB,False,False
txn_0000046,card_00122,2026-01-30T19:47:01Z,37.21,fuel,GB,False,False
txn_0000047,card_00153,2026-01-03T10:13:37Z,176.98,grocery,IN,True,False
txn_0000048,card_00546,2026-01-26T18:23:35Z,84.92,pharmacy,GB,False,False
txn_0000049,card_00504,2026-01-19T13:26:39Z,176.05,online_retail,DE,False,True
txn_0000050,card_00570,2026-01-24T18:34:08Z,9.27,online_retail,US,True,False
txn_0000051,card_00647,2026-01-22T07:06:17Z,95.79,electronics,GB,True,False
txn_0000052,card_00593,2026-01-08T05:00:46Z,274.65,pharmacy,SG,True,False
txn_0000053,card_00727,2026-01-10T12:48:46Z,86.03,restaurant,DE,True,False
txn_0000054,card_00670,2026-01-14T22:56:47Z,41.76,restaurant,GB,False,False
txn_0000055,card_00524,2026-01-22T15:01:26Z,133.18,atm_withdrawal,GB,True,False
txn_0000056,card_00210,2026-01-23T23:30:07Z,113.88,electronics,DE,True,False
txn_0000057,card_00367,2026-01-21T11:58:54Z,10.77,pharmacy,DE,False,False
txn_0000058,card_00891,2026-01-07T07:10:54Z,531.47,fuel,AE,False,False
txn_0000059,card_00159,2026-01-08T11:40:18Z,191.56,grocery,GB,True,False
txn_0000060,card_00238,2026-01-20T22:28:52Z,3.64,restaurant,IN,False,False
txn_0000061,card_00178,2026-01-27T15:44:49Z,223.02,online_retail,IN,False,False
txn_0000062,card_00285,2026-01-04T10:42:22Z,54.42,atm_withdrawal,GB,False,False
txn_0000063,card_00421,2026-01-14T06:36:47Z,152.55,electronics,IN,True,False
